,short_name,club_name,league_name,age,player_positions,overall,potential,wage_eur,pace,shooting,passing,dribbling,defending,physic,year
33213,D. Maroh,1. FC Köln,German 1. Bundesliga,29,CB,76,76,30000.0,53.0,37.0,52.0,49.0,78.0,75.0,2017
33214,B. André,Stade Rennais FC,French Ligue 1,25,"CDM, CM, RM",76,80,40000.0,69.0,64.0,74.0,73.0,71.0,72.0,2017
33215,M. Antonio,West Ham United,English Premier League,26,"RM, RB, LM",76,77,100000.0,87.0,73.0,67.0,79.0,52.0,80.0,2017
33216,P. Groß,FC Ingolstadt 04,German 1. Bundesliga,25,"CM, CAM",76,79,30000.0,67.0,67.0,78.0,73.0,62.0,73.0,2017
33217,T. Rincón,Genoa,Italian Serie A,28,"CM, CDM, RM",76,76,40000.0,72.0,64.0,73.0,73.0,74.0,78.0,2017
33224,K. Vogt,TSG Hoffenheim,German 1. Bundesliga,24,CDM,76,79,40000.0,71.0,57.0,68.0,66.0,75.0,81.0,2017
33225,Marc Muniesa,Stoke City,English Premier League,24,"CB, LB",76,82,50000.0,62.0,43.0,65.0,66.0,76.0,72.0,2017
33227,C. Clemens,1. FSV Mainz 05,German 1. Bundesliga,24,"RM, LM",76,79,30000.0,85.0,70.0,73.0,75.0,41.0,68.0,2017
33228,Herrerín,Athletic Club de Bilbao,Spain Primera Division,28,GK,76,76,20000.0,,,,,,,2017
33229,H. Seferović,Eintracht Frankfurt,German 1. Bundesliga,24,"ST, LM",76,80,30000.0,72.0,76.0,66.0,72.0,39.0,79.0,2017
33231,I. Gueye,Everton,English Premier League,26,"CM, CDM",76,79,80000.0,74.0,58.0,68.0,75.0,78.0,78.0,2017
33232,P. Souaré,Crystal Palace,English Premier League,26,LB,76,78,60000.0,82.0,50.0,71.0,74.0,73.0,77.0,2017
33233,D. Sakho,West Ham United,English Premier League,26,ST,76,78,110000.0,79.0,73.0,58.0,73.0,31.0,74.0,2017
33236,F. Đuričić,U.C. Sampdoria,Italian Serie A,24,"CAM, LW",76,79,30000.0,77.0,66.0,72.0,82.0,35.0,59.0,2017
33238,Roger,FC Ingolstadt 04,German 1. Bundesliga,30,CDM,76,76,30000.0,55.0,52.0,64.0,62.0,78.0,81.0,2017
33241,N. Tomović,Fiorentina,Italian Serie A,28,"CB, RB",76,76,60000.0,71.0,38.0,59.0,65.0,77.0,77.0,2017
33242,Laguardia,Deportivo Alavés,Spain Primera Division,26,CB,76,78,30000.0,62.0,40.0,51.0,46.0,76.0,83.0,2017
33250,C. Wilson,AFC Bournemouth,English Premier League,24,ST,76,82,60000.0,91.0,73.0,63.0,75.0,34.0,78.0,2017
33251,K. Babacar,Fiorentina,Italian Serie A,23,ST,76,81,60000.0,75.0,76.0,55.0,73.0,28.0,71.0,2017
33252,F. Wiedwald,SV Werder Bremen,German 1. Bundesliga,26,GK,76,78,20000.0,,,,,,,2017
33253,J. Martin,Real Betis Balompié,Spain Primera Division,26,"CM, CDM, CAM, LM",76,78,30000.0,73.0,71.0,76.0,73.0,67.0,75.0,2017
33254,Arribas,Deportivo de La Coruña,Spain Primera Division,27,CB,76,78,20000.0,57.0,36.0,56.0,56.0,76.0,76.0,2017
33256,F. Lejeune,SD Eibar,Spain Primera Division,25,CB,76,81,20000.0,50.0,53.0,55.0,53.0,75.0,79.0,2017
33261,Jordi Amat,Swansea City,English Premier League,24,CB,76,82,50000.0,62.0,48.0,53.0,57.0,76.0,77.0,2017
33262,B. Stambouli,FC Schalke 04,German 1. Bundesliga,25,"CDM, CM",76,80,30000.0,65.0,60.0,67.0,71.0,73.0,76.0,2017
33263,B. Ketkeophomphone,Angers SCO,French Ligue 1,26,"ST, RM",76,78,30000.0,82.0,72.0,73.0,78.0,26.0,58.0,2017
33264,J. Drmić,Borussia Mönchengladbach,German 1. Bundesliga,23,"ST, RM, LM",76,81,40000.0,77.0,75.0,67.0,77.0,37.0,69.0,2017
33267,Sergio León,CA Osasuna,Spain Primera Division,27,"ST, CF",76,77,30000.0,76.0,78.0,53.0,73.0,29.0,69.0,2017
33269,L. Muriel,U.C. Sampdoria,Italian Serie A,25,ST,76,79,40000.0,89.0,74.0,65.0,85.0,23.0,62.0,2017
33270,E. Bauthéac,LOSC Lille,French Ligue 1,28,"LM, LW, RM, RW",76,76,50000.0,81.0,68.0,73.0,78.0,42.0,58.0,2017
33271,J. Guidetti,RC Celta de Vigo,Spain Primera Division,24,ST,76,82,30000.0,58.0,80.0,65.0,75.0,30.0,75.0,2017
33274,Pedro Obiang,West Ham United,English Premier League,24,"CDM, CM",76,80,80000.0,68.0,59.0,74.0,72.0,74.0,76.0,2017
33276,M. Uth,TSG Hoffenheim,German 1. Bundesliga,24,"ST, RW, RM",76,81,50000.0,75.0,72.0,68.0,76.0,34.0,67.0,2017
33277,L. Rupp,TSG Hoffenheim,German 1. Bundesliga,25,"RM, CM",76,78,50000.0,73.0,67.0,75.0,78.0,65.0,67.0,2017
33278,A. Fedetskyi,SV Darmstadt 98,German 1. Bundesliga,31,RB,76,76,30000.0,77.0,55.0,67.0,63.0,75.0,80.0,2017
33279,M. Bešić,Everton,English Premier League,23,CDM,76,84,70000.0,72.0,50.0,64.0,74.0,76.0,75.0,2017
33284,G. Kondogbia,Inter,Italian Serie A,23,"CM, CDM",76,81,50000.0,72.0,60.0,71.0,76.0,73.0,81.0,2017
33285,J. Veretout,AS Saint-Étienne,French Ligue 1,23,"CM, CDM, CAM",76,82,30000.0,66.0,73.0,77.0,75.0,65.0,71.0,2017
33287,V. Eysseric,OGC Nice,French Ligue 1,24,"CAM, LM",76,80,30000.0,74.0,73.0,76.0,77.0,33.0,62.0,2017
33289,C. Piccini,Real Betis Balompié,Spain Primera Division,23,"RB, RM",76,83,20000.0,78.0,36.0,64.0,73.0,76.0,75.0,2017
33290,J. Schmid,FC Augsburg,German 1. Bundesliga,26,"LM, RM",76,77,30000.0,79.0,69.0,73.0,77.0,61.0,74.0,2017
33292,J. Gouweleeuw,FC Augsburg,German 1. Bundesliga,24,CB,76,78,20000.0,72.0,55.0,61.0,62.0,77.0,74.0,2017
33293,Serantes,CD Leganés,Spain Primera Division,26,GK,76,78,20000.0,,,,,,,2017
33294,Danilo Avelar,Torino F.C.,Italian Serie A,27,LB,76,77,40000.0,75.0,56.0,64.0,74.0,74.0,74.0,2017
33297,R. Knoche,VfL Wolfsburg,German 1. Bundesliga,24,CB,76,79,50000.0,57.0,41.0,51.0,50.0,78.0,71.0,2017
33303,David Simón,Unión Deportiva Las Palmas,Spain Primera Division,26,"RB, RWB",76,78,20000.0,80.0,46.0,66.0,71.0,70.0,72.0,2017
33304,J. Korb,Borussia Mönchengladbach,German 1. Bundesliga,24,RB,76,78,30000.0,73.0,49.0,70.0,76.0,75.0,68.0,2017
33312,J. Ward-Prowse,Southampton,English Premier League,21,"CM, CAM, RM",76,84,50000.0,68.0,61.0,83.0,74.0,61.0,68.0,2017
33314,M. De Sciglio,AC Milan,Italian Serie A,23,"LB, RB",76,81,40000.0,81.0,45.0,68.0,72.0,74.0,73.0,2017
33316,M. Weiser,Hertha BSC,German 1. Bundesliga,22,"RB, RM",76,84,20000.0,81.0,60.0,72.0,81.0,71.0,68.0,2017
33317,Roberto Torres,CA Osasuna,Spain Primera Division,27,"CM, LM, RM",76,77,30000.0,66.0,74.0,76.0,71.0,53.0,71.0,2017
33318,Insua,CD Leganés,Spain Primera Division,22,"CB, CDM",76,82,20000.0,58.0,30.0,49.0,48.0,79.0,66.0,2017
33319,L. Paredes,Roma,Italian Serie A,22,"CDM, CM",76,83,50000.0,72.0,66.0,79.0,78.0,68.0,72.0,2017
33321,Marçal,En Avant de Guingamp,French Ligue 1,27,LB,76,77,30000.0,79.0,59.0,66.0,74.0,69.0,74.0,2017
33322,T. Strobl,Borussia Mönchengladbach,German 1. Bundesliga,26,"CB, CDM, RB",76,78,30000.0,64.0,49.0,60.0,62.0,75.0,79.0,2017
33323,E. Durm,Borussia Dortmund,German 1. Bundesliga,24,"LB, RB",76,81,40000.0,82.0,55.0,66.0,74.0,72.0,71.0,2017
33324,Pedro Henrique,Stade Rennais FC,French Ligue 1,26,"RM, ST, LM",76,77,40000.0,85.0,71.0,72.0,79.0,26.0,55.0,2017
33326,Gabriel,CD Leganés,Spain Primera Division,22,"CM, CAM, CDM, ST",76,81,20000.0,55.0,67.0,73.0,71.0,66.0,74.0,2017
33327,A. Januzaj,Sunderland,English Premier League,21,"LM, RM, CAM",76,85,30000.0,81.0,64.0,74.0,81.0,21.0,52.0,2017
33328,E. Forsberg,RB Leipzig,German 1. Bundesliga,24,LM,76,81,40000.0,75.0,70.0,72.0,81.0,30.0,65.0,2017
33330,R. Zozulya,Real Betis Balompié,Spain Primera Division,26,ST,76,79,30000.0,80.0,71.0,57.0,70.0,37.0,77.0,2017
33331,A. Duncan,U.S. Sassuolo Calcio,Italian Serie A,23,CM,76,82,50000.0,76.0,63.0,73.0,73.0,73.0,78.0,2017
33335,T. Letschert,U.S. Sassuolo Calcio,Italian Serie A,23,CB,76,81,40000.0,71.0,61.0,67.0,66.0,75.0,79.0,2017
33336,R. Guerreiro,Borussia Dortmund,German 1. Bundesliga,22,"LB, LM",76,82,40000.0,83.0,69.0,73.0,77.0,72.0,64.0,2017
33337,Pacheco,Deportivo Alavés,Spain Primera Division,24,GK,76,83,15000.0,,,,,,,2017
33339,P. Zieliński,Napoli,Italian Serie A,22,"CM, CAM",76,83,50000.0,77.0,66.0,77.0,79.0,55.0,61.0,2017
33341,M. Stendera,Eintracht Frankfurt,German 1. Bundesliga,20,"CAM, CM, CDM",76,85,20000.0,71.0,72.0,74.0,78.0,51.0,63.0,2017
33344,P. De Blasis,1. FSV Mainz 05,German 1. Bundesliga,28,"RM, LM, ST",76,76,30000.0,81.0,70.0,70.0,82.0,39.0,61.0,2017
33348,Bruno Fernandes,U.C. Sampdoria,Italian Serie A,21,"CM, CAM, CF",76,83,30000.0,79.0,67.0,74.0,79.0,63.0,62.0,2017
33355,Santi Mina,Valencia CF,Spain Primera Division,20,"RW, ST, LW",76,83,30000.0,78.0,73.0,65.0,79.0,35.0,62.0,2017
33356,Marcos Lopes,LOSC Lille,French Ligue 1,20,"RW, CAM",76,83,40000.0,77.0,67.0,73.0,80.0,30.0,55.0,2017
33358,Ó. Duarte,RCD Espanyol de Barcelona,Spain Primera Division,27,CB,76,77,30000.0,65.0,29.0,41.0,53.0,77.0,75.0,2017
33370,Deyverson,Deportivo Alavés,Spain Primera Division,25,ST,76,81,30000.0,76.0,72.0,56.0,69.0,37.0,76.0,2017
33372,S. Widmer,Udinese Calcio,Italian Serie A,23,"RM, RB",76,81,30000.0,81.0,63.0,72.0,75.0,71.0,78.0,2017
33373,Capa,SD Eibar,Spain Primera Division,24,"RB, RM",76,81,20000.0,87.0,63.0,67.0,77.0,68.0,79.0,2017
33374,J. Añor,Málaga CF,Spain Primera Division,22,"RM, LM, CAM",76,86,20000.0,71.0,73.0,75.0,79.0,40.0,45.0,2017
33375,M. Oikonomou,Bologna,Italian Serie A,23,CB,76,80,40000.0,61.0,25.0,43.0,58.0,77.0,76.0,2017
33376,Bastos,Lazio,Italian Serie A,24,"CB, CDM",76,82,40000.0,75.0,37.0,50.0,58.0,78.0,73.0,2017
33378,W. Hoedt,Lazio,Italian Serie A,22,CB,76,82,40000.0,65.0,36.0,52.0,57.0,77.0,76.0,2017
33379,T. Bongonda,RC Celta de Vigo,Spain Primera Division,20,"LW, LM, RW",76,86,20000.0,84.0,66.0,66.0,81.0,27.0,51.0,2017
33380,G. Gómez,AC Milan,Italian Serie A,23,CB,76,83,40000.0,62.0,35.0,44.0,54.0,76.0,79.0,2017
33382,Camarasa,Deportivo Alavés,Spain Primera Division,22,"CM, CDM",76,84,20000.0,63.0,64.0,72.0,74.0,66.0,76.0,2017
33385,Tana,Unión Deportiva Las Palmas,Spain Primera Division,25,"CAM, LM, RM",76,79,20000.0,69.0,68.0,70.0,80.0,18.0,46.0,2017
33386,E. Valencia,Everton,English Premier League,26,"ST, LW",76,78,90000.0,85.0,76.0,66.0,74.0,43.0,70.0,2017
33393,B. Embolo,FC Schalke 04,German 1. Bundesliga,19,"RM, ST",76,88,20000.0,86.0,73.0,67.0,79.0,33.0,79.0,2017
33395,Jorge Meré,Real Sporting de Gijón,Spain Primera Division,19,CB,76,84,15000.0,70.0,30.0,50.0,53.0,77.0,68.0,2017
33397,S. Milinković-Savić,Lazio,Italian Serie A,21,"CM, CAM, CDM",76,83,40000.0,69.0,68.0,71.0,74.0,69.0,80.0,2017
33398,Mikel Merino,Borussia Dortmund,German 1. Bundesliga,20,"CM, CDM",76,86,40000.0,66.0,63.0,73.0,74.0,68.0,72.0,2017
33400,Aritz Elustondo,Real Sociedad,Spain Primera Division,22,"RB, CB",76,84,20000.0,71.0,32.0,53.0,56.0,77.0,72.0,2017
33402,Pablo Fornals,Málaga CF,Spain Primera Division,20,"CM, LM, RM",76,84,20000.0,62.0,61.0,74.0,70.0,64.0,62.0,2017
33404,Dalbert,OGC Nice,French Ligue 1,22,"LB, LM",76,84,30000.0,89.0,63.0,70.0,78.0,70.0,71.0,2017
33405,M. Pjaca,Juventus,Italian Serie A,21,LW,76,86,80000.0,85.0,67.0,74.0,84.0,28.0,70.0,2017
33418,G. Donnarumma,AC Milan,Italian Serie A,17,GK,76,88,15000.0,,,,,,,2017
33419,A. Peñaranda,Udinese Calcio,Italian Serie A,19,"ST, LM",76,86,20000.0,84.0,75.0,69.0,82.0,34.0,64.0,2017
33420,M. Rashford,Manchester United,English Premier League,18,ST,76,88,70000.0,90.0,73.0,66.0,79.0,31.0,65.0,2017
33421,Felipe,Udinese Calcio,Italian Serie A,31,CB,75,75,20000.0,52.0,35.0,51.0,52.0,79.0,66.0,2017
33422,S. Given,Stoke City,English Premier League,40,GK,75,75,20000.0,,,,,,,2017
33423,J. O'Shea,Sunderland,English Premier League,35,CB,75,75,20000.0,33.0,33.0,57.0,54.0,77.0,66.0,2017
33424,A. Gilardino,Empoli,Italian Serie A,33,ST,75,75,15000.0,62.0,73.0,60.0,70.0,29.0,66.0,2017
33425,D. Dainelli,Chievo Verona,Italian Serie A,37,CB,75,75,10000.0,34.0,33.0,42.0,50.0,80.0,70.0,2017
33431,S. Armand,Stade Rennais FC,French Ligue 1,35,CB,75,75,20000.0,40.0,56.0,76.0,63.0,76.0,74.0,2017
33434,A. McGregor,Hull City,English Premier League,34,GK,75,75,20000.0,,,,,,,2017
33436,E. Didot,En Avant de Guingamp,French Ligue 1,32,"CM, CDM",75,75,20000.0,49.0,64.0,78.0,71.0,71.0,70.0,2017
33437,S. Squillaci,SC Bastia,French Ligue 1,35,CB,75,75,15000.0,37.0,34.0,52.0,56.0,77.0,62.0,2017
33438,F. Balmont,Dijon FCO,French Ligue 1,36,CM,75,75,15000.0,54.0,67.0,76.0,72.0,74.0,73.0,2017
33439,Fernando Navarro,Deportivo de La Coruña,Spain Primera Division,34,"LB, CB",75,75,20000.0,59.0,50.0,66.0,66.0,78.0,74.0,2017
33440,S. Downing,Middlesbrough,English Premier League,31,"CAM, LM, RM",75,75,30000.0,75.0,70.0,75.0,76.0,40.0,59.0,2017
33441,T. Huddlestone,Hull City,English Premier League,29,"CM, CDM",75,75,40000.0,43.0,71.0,79.0,67.0,70.0,72.0,2017
33442,C. Fritz,SV Werder Bremen,German 1. Bundesliga,35,"CM, RM, CDM",75,75,20000.0,60.0,63.0,74.0,74.0,75.0,73.0,2017
33447,F. Lodi,Udinese Calcio,Italian Serie A,32,"CDM, CM",75,75,20000.0,55.0,65.0,84.0,73.0,65.0,66.0,2017
33449,A. Koné,Everton,English Premier League,32,"ST, RM, LM",75,75,80000.0,77.0,73.0,62.0,74.0,35.0,74.0,2017
33450,M. Borriello,Cagliari,Italian Serie A,34,ST,75,75,50000.0,63.0,73.0,59.0,70.0,27.0,68.0,2017
33454,Alexis,Deportivo Alavés,Spain Primera Division,30,"CB, RB",75,75,20000.0,59.0,34.0,60.0,55.0,75.0,76.0,2017
33457,A. Gazzi,Palermo,Italian Serie A,33,CDM,75,75,20000.0,55.0,54.0,65.0,64.0,77.0,77.0,2017
33458,D. Croce,Empoli,Italian Serie A,33,CM,75,75,10000.0,77.0,59.0,74.0,75.0,66.0,70.0,2017
33459,J. Walters,Stoke City,English Premier League,32,"ST, RM",75,75,60000.0,68.0,73.0,69.0,73.0,59.0,85.0,2017
33462,C. Medjani,CD Leganés,Spain Primera Division,31,"CB, CDM",75,75,20000.0,61.0,54.0,56.0,54.0,73.0,77.0,2017
33463,Rafael,Cagliari,Italian Serie A,34,GK,75,75,30000.0,,,,,,,2017
33469,Miguel Flaño,CA Osasuna,Spain Primera Division,31,CB,75,75,20000.0,62.0,41.0,52.0,51.0,74.0,76.0,2017
33474,C. Molinaro,Torino F.C.,Italian Serie A,32,"LWB, LM",75,75,40000.0,77.0,50.0,68.0,71.0,73.0,75.0,2017
33475,G. Stendardo,Atalanta,Italian Serie A,35,CB,75,75,20000.0,34.0,35.0,37.0,36.0,79.0,71.0,2017
33476,C. Maggio,Napoli,Italian Serie A,34,RB,75,75,50000.0,77.0,69.0,70.0,73.0,70.0,78.0,2017
33479,R. Özcan,Bayer 04 Leverkusen,German 1. Bundesliga,32,GK,75,75,30000.0,,,,,,,2017
33485,R. Snodgrass,Hull City,English Premier League,28,RM,75,75,40000.0,66.0,74.0,76.0,77.0,43.0,74.0,2017
33487,S. Marveaux,FC Lorient,French Ligue 1,30,"CAM, ST",75,75,20000.0,70.0,71.0,77.0,77.0,53.0,61.0,2017
33494,F. Amorebieta,Real Sporting de Gijón,Spain Primera Division,31,CB,75,75,20000.0,31.0,47.0,54.0,48.0,74.0,82.0,2017
33495,A. Baumjohann,Hertha BSC,German 1. Bundesliga,29,"CAM, LM",75,75,30000.0,63.0,66.0,73.0,78.0,24.0,55.0,2017
33498,J. Morrison,West Bromwich Albion,English Premier League,30,"CM, CDM, RM",75,75,40000.0,68.0,75.0,76.0,77.0,58.0,65.0,2017
33499,J. Clément,AS Saint-Étienne,French Ligue 1,31,"CDM, CM",75,75,30000.0,53.0,59.0,68.0,65.0,76.0,73.0,2017
33500,D. Congré,Montpellier Hérault SC,French Ligue 1,31,"CB, LB, RB",75,75,30000.0,62.0,30.0,64.0,67.0,75.0,76.0,2017
33501,A. Diamanti,Palermo,Italian Serie A,33,"CF, RW",75,75,20000.0,67.0,71.0,77.0,80.0,33.0,63.0,2017
33503,S. Larsson,Sunderland,English Premier League,31,"CM, RM",75,75,40000.0,53.0,76.0,80.0,74.0,62.0,73.0,2017
33504,B. Guzan,Middlesbrough,English Premier League,31,GK,75,75,20000.0,,,,,,,2017
33505,J. Ledley,Crystal Palace,English Premier League,29,"CM, CDM",75,75,60000.0,67.0,66.0,73.0,71.0,70.0,78.0,2017
33506,N. Maurice-Belay,FC Girondins de Bordeaux,French Ligue 1,31,"LM, ST",75,75,40000.0,81.0,68.0,73.0,75.0,49.0,68.0,2017
33512,J. Carrizo,Inter,Italian Serie A,32,GK,75,75,40000.0,,,,,,,2017
33514,M. Amalfitano,LOSC Lille,French Ligue 1,31,"CM, RW, RM, LM",75,75,40000.0,69.0,70.0,77.0,76.0,59.0,58.0,2017
33516,B. Dramé,Atalanta,Italian Serie A,30,"LB, LM",75,75,30000.0,81.0,56.0,64.0,72.0,73.0,75.0,2017
33519,Barragán,Middlesbrough,English Premier League,29,"RB, RM",75,75,30000.0,75.0,51.0,64.0,67.0,76.0,77.0,2017
33522,W. Hennessey,Crystal Palace,English Premier League,29,GK,75,75,40000.0,,,,,,,2017
33525,N. Spolli,Chievo Verona,Italian Serie A,33,CB,75,75,15000.0,45.0,39.0,34.0,45.0,78.0,78.0,2017
33530,Elustondo,Athletic Club de Bilbao,Spain Primera Division,29,"CB, CM, CDM",75,75,20000.0,57.0,64.0,73.0,66.0,73.0,77.0,2017
33532,A. Surman,AFC Bournemouth,English Premier League,29,"CM, CDM",75,75,50000.0,63.0,64.0,75.0,72.0,63.0,72.0,2017
33533,N. Moisander,SV Werder Bremen,German 1. Bundesliga,30,CB,75,75,20000.0,63.0,49.0,67.0,70.0,75.0,73.0,2017
33535,N. Taylor,Swansea City,English Premier League,27,LB,75,75,50000.0,73.0,40.0,68.0,72.0,76.0,67.0,2017
33536,G. Castro,Málaga CF,Spain Primera Division,31,"LW, LM",75,75,20000.0,73.0,69.0,69.0,81.0,37.0,58.0,2017
33538,Fran Rico,SD Eibar,Spain Primera Division,28,"CDM, CM",75,75,20000.0,57.0,65.0,77.0,70.0,67.0,68.0,2017
33540,P. Tytoń,Deportivo de La Coruña,Spain Primera Division,29,GK,75,75,20000.0,,,,,,,2017
33545,M. Erdinç,FC Metz,French Ligue 1,29,ST,75,75,20000.0,72.0,74.0,70.0,72.0,42.0,75.0,2017
33547,P. Armero,Udinese Calcio,Italian Serie A,29,"LB, LM",75,75,20000.0,87.0,67.0,71.0,76.0,69.0,74.0,2017
33548,Ä. Ben-Hatira,SV Darmstadt 98,German 1. Bundesliga,27,"LM, RM",75,75,20000.0,78.0,71.0,70.0,77.0,24.0,72.0,2017
33550,J. Babin,Real Sporting de Gijón,Spain Primera Division,29,CB,75,75,20000.0,36.0,46.0,57.0,40.0,76.0,83.0,2017
33553,L. Baal,Stade Rennais FC,French Ligue 1,30,LB,75,75,30000.0,82.0,49.0,66.0,66.0,73.0,74.0,2017
33556,K. Monnet-Paquet,AS Saint-Étienne,French Ligue 1,27,"LM, RW, LW, RM",75,75,30000.0,84.0,70.0,71.0,74.0,45.0,72.0,2017
33559,T. Mangani,Angers SCO,French Ligue 1,29,CM,75,75,20000.0,65.0,71.0,74.0,70.0,70.0,73.0,2017
33560,R. Danzé,Stade Rennais FC,French Ligue 1,29,RB,75,75,40000.0,68.0,59.0,71.0,70.0,77.0,72.0,2017
33561,G. Vives,Torino F.C.,Italian Serie A,35,"CDM, CM",75,75,30000.0,61.0,58.0,73.0,69.0,69.0,68.0,2017
33563,Adrián González,SD Eibar,Spain Primera Division,28,"CAM, CDM, CM",75,75,20000.0,62.0,68.0,75.0,75.0,64.0,66.0,2017
33564,Miguel Torres,Málaga CF,Spain Primera Division,30,"LB, RB",75,75,20000.0,60.0,36.0,64.0,63.0,78.0,75.0,2017
33565,V. Mannone,Sunderland,English Premier League,28,GK,75,77,30000.0,,,,,,,2017
33567,B. Sako,Crystal Palace,English Premier League,28,LM,75,75,60000.0,81.0,75.0,73.0,74.0,41.0,77.0,2017
33569,M. Heller,SV Darmstadt 98,German 1. Bundesliga,30,"RM, LM",75,75,20000.0,93.0,70.0,63.0,77.0,28.0,65.0,2017
33572,Luisinho,Deportivo de La Coruña,Spain Primera Division,31,"LB, LM",75,75,20000.0,70.0,53.0,71.0,76.0,74.0,66.0,2017
33573,M. Hasebe,Eintracht Frankfurt,German 1. Bundesliga,32,"CDM, CM, RB",75,75,20000.0,67.0,52.0,74.0,71.0,72.0,71.0,2017
33576,J. Palmieri,LOSC Lille,French Ligue 1,29,"LB, LM",75,75,40000.0,79.0,62.0,73.0,76.0,71.0,68.0,2017
33578,M. Mavraj,1. FC Köln,German 1. Bundesliga,30,CB,75,75,20000.0,52.0,31.0,54.0,46.0,77.0,74.0,2017
33579,Y. Benalouane,Leicester City,English Premier League,29,"CB, RB",75,75,50000.0,67.0,39.0,57.0,54.0,75.0,77.0,2017
33580,F. Bartels,SV Werder Bremen,German 1. Bundesliga,29,"RM, LM, CAM, ST",75,75,30000.0,82.0,68.0,68.0,79.0,41.0,64.0,2017
33581,C. M'Bengue,AS Saint-Étienne,French Ligue 1,27,LB,75,75,30000.0,74.0,42.0,68.0,68.0,75.0,74.0,2017
33583,Fran Mérida,CA Osasuna,Spain Primera Division,26,"CM, CDM, CAM",75,77,20000.0,64.0,71.0,77.0,76.0,53.0,74.0,2017
33584,S. Rajković,Palermo,Italian Serie A,27,CB,75,76,20000.0,69.0,31.0,47.0,45.0,75.0,82.0,2017
33586,J. Pied,Southampton,English Premier League,27,"RB, RM, LB",75,75,50000.0,78.0,72.0,75.0,75.0,72.0,73.0,2017
33589,N. Roux,AS Saint-Étienne,French Ligue 1,28,"ST, RM",75,75,40000.0,73.0,74.0,70.0,72.0,35.0,67.0,2017
33590,Y. Sankharé,LOSC Lille,French Ligue 1,26,"CDM, CM",75,77,30000.0,69.0,63.0,70.0,71.0,72.0,79.0,2017
33597,L. Rossettini,Torino F.C.,Italian Serie A,31,"CB, RB",75,75,40000.0,64.0,44.0,44.0,51.0,78.0,75.0,2017
33598,P. van Aanholt,Sunderland,English Premier League,25,LB,75,78,30000.0,88.0,62.0,67.0,74.0,71.0,73.0,2017
33600,M. Fabián,Eintracht Frankfurt,German 1. Bundesliga,26,"CAM, LM",75,76,20000.0,71.0,73.0,72.0,78.0,34.0,64.0,2017
33601,I. Radovanovic,Chievo Verona,Italian Serie A,27,"CM, CDM",75,75,15000.0,62.0,59.0,73.0,69.0,74.0,80.0,2017
33602,K. Naughton,Swansea City,English Premier League,27,RB,75,76,50000.0,75.0,52.0,65.0,67.0,74.0,70.0,2017
33608,Rafael Tolói,Atalanta,Italian Serie A,25,CB,75,78,30000.0,64.0,46.0,52.0,57.0,77.0,71.0,2017
33611,C. Carmona,Atalanta,Italian Serie A,29,"CM, CDM",75,75,30000.0,76.0,59.0,73.0,72.0,72.0,76.0,2017
33614,D. Brosinski,1. FSV Mainz 05,German 1. Bundesliga,27,"RB, LB, RM",75,75,20000.0,86.0,58.0,69.0,73.0,70.0,70.0,2017
33615,J. Livermore,Hull City,English Premier League,26,"CM, CDM, CB",75,76,30000.0,68.0,66.0,73.0,72.0,71.0,80.0,2017
33616,M. Britos,Watford,English Premier League,30,CB,75,75,40000.0,55.0,34.0,50.0,52.0,77.0,74.0,2017
33619,Caiuby,FC Augsburg,German 1. Bundesliga,27,"LM, ST",75,75,20000.0,84.0,70.0,69.0,74.0,32.0,78.0,2017
33620,J. Durmaz,Toulouse Football Club,French Ligue 1,27,"LM, RM, LW, RW",75,75,30000.0,84.0,71.0,74.0,78.0,32.0,63.0,2017
33623,E. Berisha,Atalanta,Italian Serie A,27,GK,75,76,20000.0,,,,,,,2017
33626,B. Hübner,TSG Hoffenheim,German 1. Bundesliga,26,CB,75,77,40000.0,55.0,31.0,49.0,58.0,77.0,72.0,2017
33628,D. Čop,Real Sporting de Gijón,Spain Primera Division,26,ST,75,77,30000.0,65.0,76.0,65.0,70.0,27.0,65.0,2017
33630,Lombán,Granada CF,Spain Primera Division,29,CB,75,75,20000.0,36.0,59.0,64.0,57.0,75.0,79.0,2017
33631,P. Tachtsidis,Cagliari,Italian Serie A,25,"CDM, CM",75,78,40000.0,55.0,59.0,74.0,66.0,69.0,80.0,2017
33634,J. Schieber,Hertha BSC,German 1. Bundesliga,27,ST,75,76,30000.0,69.0,75.0,59.0,66.0,28.0,77.0,2017
33635,R. Mason,Hull City,English Premier League,25,"CDM, CM, CAM",75,78,30000.0,68.0,68.0,76.0,73.0,69.0,68.0,2017
33638,E. Zukanović,Atalanta,Italian Serie A,29,"CB, LB",75,75,30000.0,66.0,49.0,64.0,55.0,76.0,76.0,2017
33640,A. Elmohamady,Hull City,English Premier League,28,"RM, RWB, RB",75,75,40000.0,78.0,68.0,73.0,73.0,69.0,72.0,2017
33642,A. Uchida,FC Schalke 04,German 1. Bundesliga,28,"RB, RWB",75,75,30000.0,77.0,47.0,70.0,75.0,73.0,58.0,2017
33643,Park Joo Ho,Borussia Dortmund,German 1. Bundesliga,29,"LB, CDM",75,75,40000.0,75.0,46.0,71.0,74.0,74.0,66.0,2017
33647,P. Lasne,Montpellier Hérault SC,French Ligue 1,27,"RM, CM",75,75,30000.0,67.0,70.0,75.0,74.0,71.0,73.0,2017
